id,date,time,episode,podcast,tags,web,spotify,stitcher,apple podcasts,download
id,date,time,episode,podcast,tags,web,spotify,stitcher,download,apple
6,2020-07-24,5:30pm - 7:30pm PST,The Break-Up,How's Work?,"relationships,work",https://howswork.estherperel.com/episodes/episode-1,https://open.spotify.com/episode/5h6wfpF979UhVbHoDQJtXD?si=hYvApUc-RdGT9NgnlX2cdg,https://www.stitcher.com/podcast/gimlet/hows-work-with-esther-perel/e/67259455,"",https://podcasts.apple.com/us/podcast/the-break-up/id1497580407?i=1000465256304
7,2020-07-24,5:30pm - 7:30pm PST,Apologetical,Radiolab,"relationships,words",https://www.wnycstudios.org/podcasts/radiolab/articles/radiolab-apologetical,https://open.spotify.com/episode/2YKV844w1muHi6oGHH6vsZ?si=zxft7c_jRLi_7b2PxrkuBQ,https://www.stitcher.com/s?eid=57838721&autoplay=1,https://www.dropbox.com/s/tcdmq7bm6ptbymm/radiolab_podcast18_apologetical.mp3?dl=0,https://podcasts.apple.com/us/podcast/radiolab/id152249110?i=1000426273285
8,2020-07-24,5:30pm - 7:30pm PST,Race Traitor: who taught you to be white?,The Heart,"racism",https://www.theheartradio.org/race-traitor/2020/5/5/who-taught-you-to-be-white-1-of-4,https://open.spotify.com/episode/11CL0N1aNJHpRakLhPYjIl?si=K0gIn1WDSc-RXVLWb3DoFQ,https://www.stitcher.com/s?eid=69400781&autoplay=1,"",https://podcasts.apple.com/us/podcast/race-traitor-who-taught-you-to-be-white/id595892633?i=1000473733564
8,2020-07-24,5:30pm - 7:30pm PST,Case #3 Belt Buckle,Mystery Show,"story",https://gimletmedia.com/shows/mystery-show/76h3r6/,https://open.spotify.com/show/0JZ2opnltlJ6PJxlZEpx9r,https://open.spotify.com/show/0JZ2opnltlJ6PJxlZEpx9r,"",https://podcasts.apple.com/us/podcast/case-3-belt-buckle/id952044185?i=1000344076066
8,2020-07-24,5:30pm - 7:30pm PST,
8,2020-07-24,5:30pm - 7:30pm PST,Radically Normal,Hidden Brain,"society,social justice",https://www.npr.org/2019/04/03/709567750/radically-normal-how-gay-rights-activists-changed-the-minds-of-their-opponents,https://open.spotify.com/episode/7o8TfmllQqr3BQ1dDOwipV?si=_PrYFxlXQJyh2FNBsnXSqA,https://www.stitcher.com/show/71231/episode/82230033,https://podcasts.apple.com/us/podcast/radically-normal/id1028908750?i=1000512160627,
